IATA Code	ICAO Code	Airport Name	City Name	Country Code	Country Name	Number of Runways																																																																																																																																																																																																																																																									
OAI	OAIX	BAGRAM	Bagram	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
BIN	OABN	BAMYAN	Bamyan	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
CCN	OACC	CHAKHCHARAN	Chaghcharan	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
FBD	OAFZ	FEYZABAD	Faizabad	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
FAH	OAFR	FARAH	Farah	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
HEA	OAHR	HERAT	Herat	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
JAA	OAJL	JALALABAD	Jalalabad	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
KBL	OAKB	HAMID KARZAI INTL	Kabul	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
KDH	OAKN	KANDAHAR	Kandahar	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
KHT	OAKS	KHOST	Khost	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
UND	OAUZ	KUNDUZ	Kunduz	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
BST	OABT	BOST	Lashkar Gah	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
OAZ	OAZI	CAMP SHORABAK	Lashkar Gah	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
MMZ	OAMN	MAYMANA	Maymana	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
MZR	OAMS	MAWLANA JALALUDDIN MUHAMMAD BALKHI	Mazar-e Sharif	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
LQN	OAQK	QALA I NAW	Qala i Naw	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
TII	OATN	TEREEN	Tarin Kot	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
ZAJ	OAZJ	ZARANJ	Zaranj	AFG	Afghanistan	1																																																																																																																																																																																																																																																									
TIA	LATI	TIRANA INTL	Tirana	ALB	Albania	1																																																																																																																																																																																																																																																									
AZR	DAUA	TOUAT CHEIKH SIDI MOHAMED BELKEBIR	Adrar	DZA	Algeria	1																																																																																																																																																																																																																																																									
ALG	DAAG	HOUARI BOUMEDIENE	Algiers	DZA	Algeria	2																																																																																																																																																																																																																																																									
AAE	DABB	RABAH BITAT	Annaba	DZA	Algeria	2																																																																																																																																																																																																																																																									
BLJ	DABT	MOSTEPHA BEN BOULAID	Batna	DZA	Algeria	1																																																																																																																																																																																																																																																									
CBH	DAOR	BOUDGHENE BEN ALI LOTFI	Bechar	DZA	Algeria	2																																																																																																																																																																																																																																																									
BJA	DAAE	SOUMMAM ABANE RAMDANE	Bejaia	DZA	Algeria	1																																																																																																																																																																																																																																																									
BSK	DAUB	MOHAMED KHIDER	Biskra	DZA	Algeria	1																																																																																																																																																																																																																																																									
BMW	DATM	BORDJ MOKHTAR	Bordj Mokhtar	DZA	Algeria	2																																																																																																																																																																																																																																																									
BUJ	DAAD	BOU SAADA	Bou Saada	DZA	Algeria	1																																																																																																																																																																																																																																																									
CFK	DAOI	CHLEF	Chlef	DZA	Algeria	2																																																																																																																																																																																																																																																									
CZL	DABC	MOHAMED BOUDIAF	Constantine	DZA	Algeria	2																																																																																																																																																																																																																																																									
DJG	DAAJ	TISKA	Djanet	DZA	Algeria	2																																																																																																																																																																																																																																																									
EBH	DAOY	EL BAYADH	El Bayadh	DZA	Algeria	1																																																																																																																																																																																																																																																									
ELG	DAUE	EL GOLEA	El Golea	DZA	Algeria	2																																																																																																																																																																																																																																																									
ELU	DAUO	GUEMAR	El Oued	DZA	Algeria	2																																																																																																																																																																																																																																																									
GHA	DAUG	NOUMERAT MOUFDI ZAKARIA	Ghardaia	DZA	Algeria	2																																																																																																																																																																																																																																																									
