Country Code	Country Name	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
AFG	Afghanistan	B	B	C	B	B	C	C	D	D	D	D	D	C	C	C	C
ALB	Albania	B	B	C	C	C	C	D	D	C	D	C	C	C	C	C	C
DZA	Algeria	D	D	D	D	D	D	D	D	D	D	D	D	E	E	E	D
AGO	Angola	B	C	C	C	C	C	C	D	D	D	D	D	D	D	D	D
ATG	Antigua and Barbuda	D	D	D	D	D	D	C	C	C	D	D	B	B	D	B	C
ARG	Argentina	F	F	F	F	E	E	E	E	E	F	F	F	F	F	F	F
ARM	Armenia	B	C	B	B	B	C	C	C	C	C	C	C	B	B	C	D
AUS	Australia	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
AUT	Austria	F	F	F	F	E	F	F	F	D	D	D	E	E	D	D	D
AZE	Azerbaijan	C	C	D	D	D	D	D	D	D	D	D	D	D	D	D	D
BHS	Bahamas	F	F	F	F	F	F	D	D	D	D	D	D	D	D	D	D
BHR	Bahrain	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
BGD	Bangladesh	C	C	C	C	C	E	E	C	E	C	C	E	E	E	E	E
BRB	Barbados	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
BLR	Belarus	B	B	B	B	B	B	B	C	C	C	C	C	C	C	C	C
BEL	Belgium	E	E	D	E	E	E	E	E	E	E	E	E	E	E	E	E
BLZ	Belize	F	F	F	F	F	E	B	C	E	E	F	F	F	F	F	F
BEN	Benin	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
BTN	Bhutan	A	A	A	A	A	A	A	A	B	B	B	B	B	B	B	B
BOL	Bolivia	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E
BIH	Bosnia and Herzegovina	B	B	A	B	B	B	B	B	B	B	B	B	B	C	C	C
BWA	Botswana	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
BRA	Brazil	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
BRN	Brunei Darussalam	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
BGR	Bulgaria	C	C	C	D	D	D	D	D	D	D	D	D	D	D	D	D
BFA	Burkina Faso	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
BDI	Burundi	B	B	B	B	B	A	A	A	A	A	A	A	A	A	A	A
KHM	Cambodia	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E
CMR	Cameroon	B	B	B	C	C	C	B	B	B	B	B	B	B	B	B	C
CAN	Canada	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
CPV	Cape Verde	D	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
CAF	Central African Republic	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
TCD	Chad	A	A	B	B	B	B	B	B	B	B	B	B	A	A	A	A
CHL	Chile	F	E	D	E	D	D	E	E	E	E	E	E	E	D	D	D
CHN	China	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
COL	Colombia	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
COM	Comoros	A	B	C	C	C	C	B	B	B	A	A	A	C	A	C	C
COK	Cook Islands	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
CRI	Costa Rica	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
CIV	Cote d'Ivoire	B	C	C	C	B	B	B	B	B	B	C	C	C	C	C	C
HRV	Croatia	D	D	D	D	D	D	D	D	D	D	D	D	D	E	E	F
CUB	Cuba	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
CYP	Cyprus	D	D	D	D	D	D	E	D	D	E	E	E	E	E	E	E
CZE	Czech Republic	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
PRK	Democratic People's Republic of Korea	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
COD	Democratic Republic of the Congo	B	C	C	C	C	C	C	C	C	C	C	B	C	C	C	C
