Country Code	Country Name	Category 2003	Category 2008	Category 2013
AFG	Afghanistan	Worrying	Unstable Upwards	Worrying
ALB	Albania	Encouraging	Unstable Upwards	Stable
DZA	Algeria	Unstable Upwards	Unstable Upwards	Unstable Upwards
AGO	Angola	Encouraging	Encouraging	Stable
ATG	Antigua and Barbuda	Worrying	Worrying	Worrying
ARG	Argentina	Structural Effect	Structural Effect	Structural Effect
ARM	Armenia	Encouraging	Encouraging	Encouraging
AUS	Australia	Stable	Stable	Stable
AUT	Austria	Structural Effect	Structural Effect	Structural Effect
AZE	Azerbaijan	Encouraging	Stable	Stable
BHS	Bahamas	Worrying	Worrying	Stable
BHR	Bahrain	Stable	Stable	Stable
BGD	Bangladesh	Encouraging	Unstable Downwards	Encouraging
BRB	Barbados	Stable	Stable	Stable
BLR	Belarus	Encouraging	Encouraging	Stable
BEL	Belgium	Structural Effect	Structural Effect	Structural Effect
BLZ	Belize	Unstable Downwards	Encouraging	Stable
BEN	Benin	Stable	Stable	Stable
BTN	Bhutan	Encouraging	Encouraging	Stable
BOL	Bolivia	Stable	Stable	Stable
BIH	Bosnia and Herzegovina	Encouraging	Encouraging	Encouraging
BWA	Botswana	Stable	Stable	Stable
BRA	Brazil	Stable	Stable	Stable
BRN	Brunei Darussalam	Stable	Stable	Stable
BGR	Bulgaria	Encouraging	Stable	Stable
BFA	Burkina Faso	Stable	Stable	Stable
BDI	Burundi	Worrying	Stable	Stable
KHM	Cambodia	Stable	Stable	Stable
CMR	Cameroon	Encouraging	Unstable Downwards	Encouraging
CAN	Canada	Stable	Stable	Stable
CPV	Cape Verde	Structural Effect	Structural Effect	Structural Effect
CAF	Central African Republic	Stable	Stable	Stable
TCD	Chad	Unstable Upwards	Worrying	Worrying
CHL	Chile	Structural Effect	Structural Effect	Structural Effect
CHN	China	Stable	Stable	Stable
COL	Colombia	Stable	Stable	Stable
COM	Comoros	Encouraging	Unstable Downwards	Encouraging
COK	Cook Islands	Stable	Stable	Stable
CRI	Costa Rica	Stable	Stable	Stable
CIV	Cote d'Ivoire	Encouraging	Encouraging	Stable
HRV	Croatia	Encouraging	Encouraging	Encouraging
CUB	Cuba	Stable	Stable	Stable
CYP	Cyprus	Encouraging	Encouraging	Stable
CZE	Czech Republic	Stable	Stable	Stable
PRK	Democratic People's Republic of Korea	Stable	Stable	Stable
COD	Democratic Republic of the Congo	Encouraging	Unstable Downwards	Unstable Downwards
DNK	Denmark	Structural Effect	Structural Effect	Structural Effect
DJI	Djibouti	Stable	Stable	Stable
DMA	Dominica	Stable	Stable	Stable
DOM	Dominican Republic	Encouraging	Stable	Stable
ECU	Ecuador	Stable	Stable	Stable
EGY	Egypt	Encouraging	Stable	Stable
SLV	El Salvador	Stable	Stable	Stable
GNQ	Equatorial Guinea	Encouraging	Encouraging	Encouraging
ERI	Eritrea	Stable	Stable	Stable
EST	Estonia	Stable	Stable	Stable
ETH	Ethiopia	Stable	Stable	Stable
FSM	Federated States of Micronesia	Stable	Stable	Stable
FJI	Fiji	Worrying	Worrying	Stable
